document,line,claim_text,claim_text_sha256,metric,value,run_or_file,status,match_result,classification
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,28,exactly one citable run of record for all Phase-3 metrics.,ec632700a02cdb76687978f210563a23a24ca85dfce9fd5e99229ebd7216b5a6,quantitative statement or design constant,3,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,46,Phase 3 number in it must be read as superseded/protocol-affected unless it is,410804da513f9bcfbcfaa3cf9092659903265c3239b53e58180f41c762b1ae7a,quantitative statement or design constant,3,phase3_postinv/;phase3_download/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/phase3_correction_registration_2026-07-22.md,1,# Phase 3 correction registration (2026-07-22),b7a26757721a98837bffbbc62bc98d6172c7463dfba4d0dae10a69a3c08ae3c3,quantitative statement or design constant,3;2026;-07;-22,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,3,**Status: binding pre-data registration for the Phase-3 protocol-v2 corrective,acf4449eb51e785a768a33177e2785b1de5d978aea56e42e5b8d1c89b5d663cf,quantitative statement or design constant,3,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,4,campaign.** Committed on branch `phase234-correction-2026-07-22` after the,371561f36151d8c0cddb736c6b9dde4ee246bdf024561c996cd6acbc258c2bf2,quantitative statement or design constant,34;2026;-07;-22,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,5,corrected instrument was frozen and before any corrected Phase-3 experiment,79ccd4ded831e7fd53cc3126e44c6f1a0754e1aa5ca93065fd786f5c6855304e,quantitative statement or design constant,3,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,8,## 1. Defects and disclosure,98ba8af191ff224a983ea19e925e8c778c396b6e4a857579ce45bdfa2c343d7c,quantitative statement or design constant,1,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,11,`docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md`. Previously seen results,44676be2b4df5e3a8c116595465a25822f4204dab23db2901a1a4919d6e49ece,quantitative statement or design constant,026;-07;-22,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,12,"(all sighted, all withdrawn): run 27621106006 and run 29166356524, each n=10 —",2d4f8eb979109459a7a71ac61426440c8df96a674cfa9c043bb3624e957da704,quantitative statement or design constant,27621106006;29166356524;10,phase3_postinv/;phase3_download/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/phase3_correction_registration_2026-07-22.md,13,learned blind delay 12.11–12.18 ticks (rel. error 0.94–1.46%) in all four,1522adfb02d9e92d627d7c18e961f5ad328782a3217df6923c81d8a3355228f7,quantitative statement or design constant,12.11;12.18;0.94;1.46,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,15,KG arm 6/6 deadlines met vs 3/6 for the zero-delay baseline in both profiles;,62e18ff8358264b6f595e5aa7e8933d63a04f5cb60d49c51c9aa448ddbddc772,quantitative statement or design constant,6;6;3;6,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,16,wall-clock energy figures (withdrawn) of roughly 3.1–3.5 units for the KG arm,964de123ff14e0a56633bec71be7cf6185ed9a0c5247a04018612b3a3ede906c,quantitative statement or design constant,3.1;3.5,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,17,on tight goals vs 0 for the baseline.,a907138a9df5d1cfa5b9a98785a65077f0bd696b7ab66b8f642003c81fa6a92c,quantitative statement or design constant,0,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,19,## 2. Frozen instrument,4d73b0bcc5fd6b154e6951d47eae9cd4cc67cbd0efe44436fef9058e461ffa42,quantitative statement or design constant,2,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,32,## 3. Registered outcomes,d3e42b53d573b4a2f31166e91d1e48c0ab819a993319cffa22f87f4f62af8f3b,quantitative statement or design constant,3,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,36,  ground-truth 12 ticks — and deadline compliance (overall/tight/loose met,5a85f32c66bfd0ccbd5261d8c69ccef24e1322307071a02896adf37a1640032e,quantitative statement or design constant,12,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,38,"  reproduces (≈1% delay error; KG arm meets tight deadlines, zero-delay",9184a3cb739bf6fbc5fa54d61d935bc0972f2d95f5d8f17dd15715ddd4fff30c,quantitative statement or design constant,1,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,46,  p- or q-value may be attached to any Phase-3 energy quantity.,a1f6ac2787da9ef4bceebc8957b0d5a4bd37aa158c49dd9af275d7d34143b75d,quantitative statement or design constant,3,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,48,## 4. Campaign,952dd141a0b7a9cbc3a44f52267750362198c0c4eec3e581af5319937dcf5fde,quantitative statement or design constant,4,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,52,1–10 (unchanged from the record; the headline instrument is unchanged and,c319bb612358d8a36de770c2e4feac49dcc04ae3956affac847fb0186b45b983,quantitative statement or design constant,1;10,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,53,"gains no power from more replicas), `publish_results=true`. 40 dynamics cells",10a56a4560a4abf11e348aafe0d8ed85d2ef56cb5351d22684eae814e31c03bc,quantitative statement or design constant,40,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,58,## 5. Archive and completion gates,3c432e37d1b393d87f9a14c5432b66e071b79fa2f811ebd8ce09e492f8c9b699,quantitative statement or design constant,5,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase3_correction_registration_2026-07-22.md,62,`workflow_inputs.json`) with `ARCHIVE_MANIFEST.md` and a SHA-256 inventory.,23b6c4d37b1deceb17a2d2d5163e39bd50be6b79ae2b50fb323882ec35c00d9d,quantitative statement or design constant,256,docs/phase3_correction_registration_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,1,# Phase 3 and Phase 4 protocol-v2 dispatch records (2026-07-22),b6f8e197145a0e17fedd8c1b237acae95721292f522a47dc68bed508877c2bfc,quantitative statement or design constant,3;4;2026;-07;-22,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,3,All dispatches were queued on 2026-07-22 (13:58 UTC) from branch,7b0752c60f308eede91a356befa5f5013b357ca746442df32c748cfcf90ae645,quantitative statement or design constant,2026;-07;-22;13;58,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,4,"`phase234-correction-2026-07-22`, dispatch head `90e53f8b` (contains the",4a2cdce390a188d2c6c23678e2e443ff0201c8a0ed289aa42d95d31b2e8dd7f0,quantitative statement or design constant,34;2026;-07;-22;90e53,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,5,Phase-3 registration `8010e49f` and the Phase-4 registration `03bcc516`;,aeb95fdd200a80c5ad7cb6466e535b23679bf1f6a8e19bb04b1f29996b5fd0c0,quantitative statement or design constant,3;8010e49;4;03;16,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,6,"CI run `29924711758` was green on head `03bcc516` — the only commit between,",f3102bc354072512ebc818c6a1998ee34b0a71fb3e6ab21f1b4c603d7d3d1dcc,quantitative statement or design constant,29924711758;03;16,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,7,"`90e53f8b`, touches claim-ledger tooling and no campaign code — before",ed7a911da5230d2cd40a2c41ad8dfba8017fea01a4740acd63355526cbb1e3f7,quantitative statement or design constant,90e53,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,10,## Phase 3 (registration §4: one dispatch),fd2a0a90dbea0d0a5439e8173ae9f28c737af348cd0708ddf053b6f4596fde64,quantitative statement or design constant,3;4,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,14,"| P3 | `29926328852` | `dynamics_profiles=lab2_slow,lab3_slow` (default), `replicas=1..10` (default), `probes=0` (default), `publish_results=true` |",0d08edff49bb8c4652f798f1d6592c75bd3ab60d772d90f2e993252d12d7473c,quantitative statement or design constant,29926328852;1;10;0,phase3_v2_corrected/CAMPAIGN_MANIFEST.md,current protocol-v2 result; committed archive,match,corrected_result
docs/phase34_v2_dispatch_record_2026-07-22.md,21,"1–10, probes 0).",596f73ba8c67a3f649b8905e868a12dbbc65657b38a08cef641146ace7c1abb9,quantitative statement or design constant,1;10;0,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,23,## Phase 4 (registration §4: two dispatches),9a880fcfa0e77159434d28e47b07dba736b5d524990a39b403701216679b1a9e,quantitative statement or design constant,4;4,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,27,"| P4-1 | `29926341581` | `profiles=lab4,lab4dual,lab4chain,lab5`, `seeds=1..10`, `run_mode=phase4_v2`, `publish_results=true` |",4ce89c9bd1721bd704bd34adb09c020aee4b02fb4342cc1c647c73c2629334c3,quantitative statement or design constant,-1;29926341581;1;10,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/phase34_v2_dispatch_record_2026-07-22.md,28,"| P4-2 | `29926354783` | `profiles=lab4,lab4dual,lab4chain,lab5`, `seeds=11..20`, `run_mode=phase4_v2`, `publish_results=true` |",e8c63272e601e7f3b7553090342d788288837b3ffdc3dd7ba369f45e97d7fd2e,quantitative statement or design constant,-2;29926354783;11;20,docs/phase34_v2_dispatch_record_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,1,# Phase-3 protocol-v2 corrected campaign,254d078cc73d9b0341ec80876cf1a0148f6ba3540d46a9cf6e87c79ebe841a3a,quantitative statement or design constant,3,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,3,Registration: `docs/phase3_correction_registration_2026-07-22.md`. One,1d8dd3d42866fb98ea62de4d8f84944ddbc7a2799416eaaaec6db4ca2ae60264,quantitative statement or design constant,026;-07;-22,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,4,registered dispatch; archive `run_29926328852/` (see its ARCHIVE_MANIFEST.md).,095d761dd2baa25c42340c7a315793c483b83e802ef06d29e93c79625a495028,quantitative statement or design constant,9926328852,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,14,  learned delay 12.125–12.1875 ticks vs ground truth 12 (rel. error,090fbfd57177554e5f967a03e8877ecc62287fd648f9345865cdeb8963e4da0d,quantitative statement or design constant,12.125;12.1875;12,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,15,  1.04–1.56%) in all four profile×arm cells; lamps/spotlight classified,e710f32225a05e8c0e531e1e189839994c0c93041024ea3fd4d9cfd3a6eb3dbb,quantitative statement or design constant,1.04;1.56,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,17,- Deadline compliance reproduces with one disclosed deviation: KG arm 59/60,482ff12302bc51b2c5aebb86c85615f5f96c01f4abbebe6274cfbe9aeb7e32a4,quantitative statement or design constant,59;60,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,19,"  overall_compliance 0.9833) and 60/60 on lab3_slow, vs the zero-delay",0b3187f3bb15ea859686d126a685fb00282160c725ea05d04264ed657f461708,quantitative statement or design constant,0.9833;60;60,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,20,  baseline's 30/60 in both profiles (all tight goals missed). The withdrawn,52f223b80c2dbc9f0ef91f042b2800fd449994bb08863bf0bdf7129e5030d61b,quantitative statement or design constant,30;60,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,21,  record showed 6/6 vs 3/6 in every replica.,6a66bb789d924652308600347887cd0d0f2542dc6c32e344b5859e9e193c9147,quantitative statement or design constant,6;6;3;6,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,23,  permitted): the KG arm buys the tight deadlines with 3.1–3.7 tick-energy,da84d0cdda0faff5b89df2e01ba888e4a3ffbe38f4e272aa05d558c5f747cfce,quantitative statement or design constant,3.1;3.7,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/CAMPAIGN_MANIFEST.md,24,  units per replica vs 0 for the baseline.,ba1efcb21ee948187fcb5b50a54652d298163ac66e05fb6e9e64a80103278a22,quantitative statement or design constant,0,phase3_v2_corrected/run_29926328852/analysis/out/phase3_compliance_ci.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,1,# Phase-3 protocol-v2 archive — run 29926328852,be75482f3d627691bb1a046c17739bf3d0867b1b989644f45574b3ec7b6b5e96,quantitative statement or design constant,3;29926328852,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,3,"- **Workflow:** `.github/workflows/phase3.yml`, GitHub Actions run `29926328852`",1e820c23447dce23aaf19df21bf3c1303352ba6ddb271267181102873033c916,quantitative statement or design constant,29926328852,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,4,"  (completed success, 2026-07-22), head `90e53f8b087fc390a7ad51a0187b81c89c21c64e`,",a128198fc444a8ab52dd8903d00b33120bacc96a81cd1896b937216eacc1a329,quantitative statement or design constant,2026;-07;-22;90e53;87;90;1;187;1;9;1;4,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,5,  branch `phase234-correction-2026-07-22`.,2911e9a08746ddb2bd32fb38d70d2f6ab3f9fd98586797a8c81b54d5ddd91e2d,quantitative statement or design constant,34;2026;-07;-22,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,6,- **Registration:** `docs/phase3_correction_registration_2026-07-22.md`,8d5129c8637e250b8fede846ab4640c01ec3a27a0245a7d2240e0b5c04716be5,quantitative statement or design constant,026;-07;-22,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,7,"  (commit `8010e49f`, contained in the dispatch head). Dispatch record:",e247faf1661aafca66f03096b92dd14289dd7032c731c7f2052a03962b05df39,quantitative statement or design constant,8010e49,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,8,  `docs/phase34_v2_dispatch_record_2026-07-22.md`.,b1a7317cf5260b5861434de9006caf409cdc52d810513111ad65662c5f4bc026,quantitative statement or design constant,4;026;-07;-22,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,9,"- **Inputs:** `dynamics_profiles=lab2_slow,lab3_slow`, `replicas=1..10`,",f442eb3f645701150678ac5090f151be8d9ae93549c1e0de35edf7f64a8a8965,quantitative statement or design constant,1;10,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,10,"  `probes=0` (config default 8), `publish_results=true`",7738121515daeb53ed7d1b170cb1a23a13bef553aa4fc39e516a2766679bdf60,quantitative statement or design constant,0;8,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,12,"- **Source artifact:** `phase3-consolidated`, id `8532999058`,",0d77d103258c84f1a1a53e7a3b29f0d5a25744d8c583a4dca7fdaafc5dab7014,quantitative statement or design constant,8532999058,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,13,  `sha256:056b232386a0849f813772da133aa9a4b172205b1743fae251a7849e2c522ce7`.,a3f01dc95d4ed7bf93b2f823dcaea136bca0ba033206477ca20ae96576b48744,quantitative statement or design constant,56;056;32386;849;13772;33;72205;743;51;849e2;22,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,14,- **Contents:** `dynamics_root/rep{1..10}/` (per-cell DYNAMICS_OK gate,0b9981d4a1bb5114be537eb3d154448c97f26e56a69736041d989630eed93d97,quantitative statement or design constant,1;10,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,20,"  --profiles lab2_slow,lab3_slow --replicas 1-10` passes;",436e44b89ccbd18031066c11e36f359f4b67a00a2a82a998ae160d7bc45205e3,quantitative statement or design constant,1;-10,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,23,- **Publish:** results branch only — the Phase-3 workflow creates no results,5c03a62776fe509170c45e5b0ab36b55c29d55b809e084c170907b2286822f5b,quantitative statement or design constant,3,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
phase3_v2_corrected/run_29926328852/ARCHIVE_MANIFEST.md,26,- **Inventory:** `SHA256SUMS.csv` (163 data files + this manifest's inventory,062087dffb119e59ba1b2545ab5eb82f5a3589e13e0206bee467829868354491,quantitative statement or design constant,56;163,phase3_v2_corrected/run_29926328852/SHA256SUMS.csv,current protocol-v2 result; committed archive,match,corrected_result
