claim_id,stage,product_scope,evidence_label,research_status,claim_text,claim_status,source_ids,source_locators,derivation_method,analysis_script_ref,exact_command,review_status,notes
CLM-S0-011,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,At the continuation observation normal Git status reported 35 untracked top-level paths.,ACTIVE,SRC-0040,repository snapshot observed 2026-06-15T13:04:27.3504583Z,count of porcelain-v2 question-mark records,NONE,git status --porcelain=v2 --untracked-files=normal,VERIFIED,Count includes paper_notes and phase2_results_v4 and excludes ignored paths
CLM-S0-012,0,AUDIT_HISTORY,DERIVED,NOT_APPLICABLE,Seventeen nested result-root hashes in the initial ledger used native Windows path separators contrary to TREE-SHA256-V1; canonical slash-normalized replacements were computed while the two flat-root hashes remained unchanged.,ACTIVE,SRC-0039;SRC-R001;SRC-R002;SRC-R003;SRC-R004;SRC-R005;SRC-R006;SRC-R007;SRC-R008;SRC-R009;SRC-R010;SRC-R011;SRC-R012;SRC-I001;SRC-I002;SRC-I003;SRC-I004;SRC-I005;SRC-I006;SRC-I007;SRC-R003-R1;SRC-R004-R1;SRC-R005-R1;SRC-R006-R1;SRC-R007-R1;SRC-R008-R1;SRC-R009-R1;SRC-R010-R1;SRC-R011-R1;SRC-R012-R1;SRC-I001-R1;SRC-I002-R1;SRC-I003-R1;SRC-I004-R1;SRC-I005-R1;SRC-I006-R1;SRC-I007-R1,legacy and canonical local-tree-sha256 locators in SOURCE_LEDGER.csv,Recompute each root with normalized slash paths and reproduce selected legacy hashes with --legacy-native-separators,local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs,node paper_notes/TREE_SHA256_V1.mjs ROOT; node paper_notes/TREE_SHA256_V1.mjs --legacy-native-separators ROOT,VERIFIED,No result values were read or interpreted
CLM-S0-013,0,AUDIT_HISTORY,DERIVED,UNRESOLVED,The local phase2_results_v4 root contains 362 regular files and 10365101 bytes with canonical TREE-SHA256-V1 hash 0b65bb2d54dcb5b06a8c179f518480622d715a3688153f53adea990661e41cf1.,ACTIVE,SRC-0039;SRC-R013,local-tree-sha256:0b65bb2d54dcb5b06a8c179f518480622d715a3688153f53adea990661e41cf1:phase2_results_v4,TREE-SHA256-V1 inventory only,local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs,node paper_notes/TREE_SHA256_V1.mjs phase2_results_v4,VERIFIED,UNRESOLVED research status because no result value was analyzed
CLM-S0-014,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,GitHub records artifact 7636716341 named phase2-consolidated for run 27529585379 with SHA-256 digest 278dd690109934a7d4813d1dd991e768ee08c4b3e2e29ca5dfb7e8d32c70c5b1 and compressed size 1996725 bytes.,ACTIVE,SRC-0043,SRC-0043 Actions locator,NONE,NONE,gh api repos/esra-dev/MT-PhysicsBAS/actions/runs/27529585379/artifacts,VERIFIED,Artifact archive was not downloaded because GitHub CLI has no authentication token
CLM-S0-015,0,AUDIT_HISTORY,DERIVED,UNRESOLVED,The local phase2_results_v4 text compares equal to results commit e9b9e3529cd71fce3ad9dfe5fa29c64793898b2e after Git line-ending normalization but is not byte-identical to that committed snapshot; identity to the artifact ZIP remains NOT FOUND.,ACTIVE,SRC-0041;SRC-0042;SRC-0043;SRC-R013,origin/results@e9b9e3529cd71fce3ad9dfe5fa29c64793898b2e:phase2/27529585379-20260615-112824; local-tree-sha256:0b65bb2d54dcb5b06a8c179f518480622d715a3688153f53adea990661e41cf1:phase2_results_v4,Compare analysis and recovery subtrees with git diff --no-index and compare byte-level TREE-SHA256-V1 hashes,local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs,git archive e9b9e3529cd71fce3ad9dfe5fa29c64793898b2e phase2/27529585379-20260615-112824; git diff --no-index phase2_results_v4/analysis/out COMMIT/analysis_out; git diff --no-index phase2_results_v4/recovery_root COMMIT/recovery_root,VERIFIED_LIMITED,Artifact ZIP download and digest verification are NOT FOUND
CLM-S0-016,0,AUDIT_HISTORY,DIRECT,UNRESOLVED,GitHub Actions run 27547019772 was in progress for the Phase 2 workflow on head SHA 985c7a18558b6d5cb96c018a395b0aae6389f410 at the 2026-06-15T13:16:13.0678419Z observation.,ACTIVE,RUN-27547019772,https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772,NONE,NONE,gh run view 27547019772 --json databaseId workflowName event status conclusion headBranch headSha createdAt updatedAt url displayTitle,VERIFIED_MUTABLE_STATUS,No result or artifact claim may be made until the run completes and its outputs are ingested
CLM-S1-001,1,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,Stage 1 repository mapping used branch phase2-fault-detection at full SHA 985c7a18558b6d5cb96c018a395b0aae6389f410.,ACTIVE,SRC-0040;SRC-S1-001,phase2-fault-detection@985c7a18558b6d5cb96c018a395b0aae6389f410:.,NONE,NONE,git rev-parse HEAD,VERIFIED,No branch switch or tracked-source modification was performed
CLM-S1-002,1,AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,DERIVED,NOT_APPLICABLE,The external thesis-template tree contains 18 regular files and 200324 bytes with canonical TREE-SHA256-V1 hash a60bff22cc24edeb04ef85a1c47d5cfc34e10535ed68898f674a2d194d428e9e.,ACTIVE,SRC-0039;SRC-S1-015,local-tree-sha256:a60bff22cc24edeb04ef85a1c47d5cfc34e10535ed68898f674a2d194d428e9e:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport,TREE-SHA256-V1 inventory,local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs,node paper_notes/TREE_SHA256_V1.mjs 'C:\Users\esrad\Downloads\Template-ThesisReport\Template-ThesisReport',VERIFIED,Node.js v22.14.0
CLM-S1-003,1,AUDIT_HISTORY,DERIVED,NOT_APPLICABLE,The local log tree contains 80 regular files and 325411769 bytes with canonical TREE-SHA256-V1 hash 4b2a846600b09d29f8ef221089a24a36bd2643ce320dba41662cea5205488305.,ACTIVE,SRC-0039;SRC-S1-016,local-tree-sha256:4b2a846600b09d29f8ef221089a24a36bd2643ce320dba41662cea5205488305:log,TREE-SHA256-V1 inventory,local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs,node paper_notes/TREE_SHA256_V1.mjs log,VERIFIED,The tree is mixed local chronology and not one experimental run
CLM-S1-004,1,MANUSCRIPT_EVIDENCE,DIRECT,NOT_APPLICABLE,The external template assembles one abstract five numbered chapter files a bibliography and one appendix file.,ACTIVE,SRC-0004;SRC-0005;SRC-0006;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011,local-sha256:e307ade8278833b506bbc44ac8a0f15f6fd508233cbf6de19d5c5b9396008ea3:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/thesis.tex:L101-L162,NONE,NONE,NONE,VERIFIED,Chapter meanings are defined by the individual placeholder files
CLM-S1-005,1,MANUSCRIPT_EVIDENCE,INTERPRETATION,NOT_APPLICABLE,The template has no separately included Implementation or Discussion chapter so Stage 1 routes implementation under Contributions or Appendix and critical discussion under Evaluation.,ACTIVE,SRC-0004;SRC-0007;SRC-0008;SRC-0011,local-sha256:e307ade8278833b506bbc44ac8a0f15f6fd508233cbf6de19d5c5b9396008ea3:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/thesis.tex:L148-L162,Compare included chapter files with required paper-structure boundaries,NONE,NONE,REVIEWED_STAGE1_ROUTING,Routing is reversible before manuscript drafting
CLM-S1-006,1,AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,DERIVED,UNRESOLVED,A repository search found the thesis Phase 3 temporal or process-dynamics requirement in THESIS_PIVOT_MASTER.md but found no matching responseDelay implementation or experimental result source.,SUPERSEDED_BY_CLM-S1R-003,SRC-0018;SRC-0040,local-sha256:530c856971c8250db4c27f312468a424c24d77f285004594b6d68d9f243b8029:THESIS_PIVOT_MASTER.md:L48-L56; phase2-fault-detection@985c7a18558b6d5cb96c018a395b0aae6389f410:.,Negative repository search with explicit exclusions,NONE,"rg -n -i 'phase 3|phase3|response delay|responsedelay|temporal specification|process dynamics' -g '!.git/**' -g '!build/**' -g '!.gradle/**' -g '!log/**' -g '!phase1_xzone_*/**' -g '!phase2_results*/**' -g '!tmp_*/**' -g '!benchmark/results_full_seed1/**' .",VERIFIED_LIMITED,Runner-internal phase numbering and comments saying learned by the Q-agent are not Phase 3 implementation evidence; superseded by current Phase 3 implementation sources recorded in CLM-S1R-003
CLM-S1-007,1,AUDIT_HISTORY,DIRECT,UNRESOLVED,GitHub Actions run 27547019772 was queued without a conclusion on head SHA 985c7a18558b6d5cb96c018a395b0aae6389f410 at the 2026-06-15T13:46:11.9819313Z observation.,ACTIVE,RUN-27547019772,https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772,NONE,NONE,gh api repos/esra-dev/MT-PhysicsBAS/actions/runs/27547019772,VERIFIED_MUTABLE_STATUS,No successor artifact or local result root exists yet
CLM-S1-008,1,AUDIT_HISTORY,DIRECT,UNRESOLVED,The user-supplied project-history screenshot is preserved as SHA-256 93e89608da0032296315d37459050d78f4bd3135f4d29ce64e4cfb0b17da5e7e but the original advisor-authored source remains NOT FOUND.,ACTIVE,SRC-S1-017,local-sha256:93e89608da0032296315d37459050d78f4bd3135f4d29ce64e4cfb0b17da5e7e:C:/Users/esrad/Downloads/User attachment.png,SHA-256 file hash,NONE,Get-FileHash -Algorithm SHA256 -LiteralPath 'C:\Users\esrad\Downloads\User attachment.png',VERIFIED_LIMITED,Use as a requirement source only
CLM-S1-009,1,MANUSCRIPT_EVIDENCE,UNRESOLVED,The local file 3600100.3623737.pdf is preserved as SHA-256 8da47a5f099e88bd8aa8e527ad35aa285bbddd05810f30e9b3337d87776412ee but its bibliographic identity and relevance were NOT FOUND in Stage 1.,ACTIVE,SRC-S1-018,local-sha256:8da47a5f099e88bd8aa8e527ad35aa285bbddd05810f30e9b3337d87776412ee:3600100.3623737.pdf,SHA-256 file hash,NONE,Get-FileHash -Algorithm SHA256 -LiteralPath '3600100.3623737.pdf',VERIFIED_LIMITED,Do not add to related work until identified
"CLM-S2-001","2","AUDIT_HISTORY","DERIVED","NOT_APPLICABLE","At the Stage 2 observation the named refs resolved to the full SHAs and branch distances recorded in CHRONOLOGY.md.","ACTIVE","SRC-S2-004","local-sha256:910dd72918495cf2f9c9a66a0a4f0a1e8e7d51b10adfa088ee51397b713eeaa7:paper_notes/GIT_AUDIT_20260615T153450Z.txt:L5-L44","git rev-parse plus git rev-list left-right counts","SRC-S2-001","./paper_notes/STAGE2_CAPTURE.ps1 -ObservedAtUtc '2026-06-15T15:34:50.3118706Z'","VERIFIED_STAGE2","Ref topology only; no empirical effect claim"
"CLM-S2-002","2","AUDIT_HISTORY","SUPERSEDED","POST_HOC_EXPLORATORY","The May 22 project direction tested ontology-shaped Q initialization across a clean profile and weakness profiles and is superseded as the final thesis direction.","SUPERSEDED","SRC-S2-004;SRC-0018","feature/qlearning-stereotype-comparison@9cfe38c292983347e08f6b6773243ee40fe5a001:docs/thesis_meeting_2026-05-22.tex:L51-L95; feature/qlearning-stereotype-comparison@9cfe38c292983347e08f6b6773243ee40fe5a001:docs/thesis_meeting_2026-05-22.tex:L226-L264; local-sha256:530c856971c8250db4c27f312468a424c24d77f285004594b6d68d9f243b8029:THESIS_PIVOT_MASTER.md:L5-L46","Chronological comparison of old report and pivot requirement","NONE","NONE","VERIFIED_STAGE2","Original advisor-authored pivot source remains NOT FOUND"
"CLM-S2-003","2","AUDIT_HISTORY","UNRESOLVED","UNRESOLVED","The exact advisor-pivot timestamp and original advisor-authored notes are NOT FOUND; the observable implementation pivot is bounded by the June 8 old-line brief and June 10 clean-lab commit.","ACTIVE","SRC-0018;SRC-S2-004","local-sha256:fa5c126c04ae1d2c12722aedf9f7c6d0d7ca0c24676809db82705dee6bc02f53:docs/thesis_meeting_2026-06-08.md:L35-L46; main@7543d15a6e6d36842ffd82f60b488b1a6dde99cd:.github/workflows/phase1.yml:L1-L37; local-sha256:910dd72918495cf2f9c9a66a0a4f0a1e8e7d51b10adfa088ee51397b713eeaa7:paper_notes/GIT_AUDIT_20260615T153450Z.txt:L42-L46","Bound interval from immutable local brief and first clean-lab implementation commit","NONE","NONE","VERIFIED_LIMITED","Do not present the bound as the meeting date"
"CLM-S2-004","2","AUDIT_HISTORY","DERIVED","NOT_APPLICABLE","The 2026-06-15T15:34:50.3118706Z snapshot contains 117 currently visible Actions runs with the workflow/conclusion counts recorded in ACTIONS_SUMMARY_20260615T153450Z.csv.","ACTIVE","SRC-S2-003;SRC-S2-005;SRC-S2-006","local-sha256:e8f900e7eedde0a9badea1eed689417a539dc643ca3154a6a1ce626a675dc4ff:paper_notes/ACTIONS_SUMMARY_20260615T153450Z.csv:rows 2-18; named columns workflow,conclusion,run_count","Group normalized Actions rows by workflowName and conclusion","SRC-S2-005","./paper_notes/STAGE2_SUMMARIZE_ACTIONS.ps1 -InputCsv ./paper_notes/ACTIONS_RUNS_20260615T153450Z.csv -OutputCsv ./paper_notes/ACTIONS_SUMMARY_20260615T153450Z.csv","VERIFIED_STAGE2","Counts exclude deleted or API-invisible runs"
"CLM-S2-005","2","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DERIVED","UNRESOLVED","A formal preregistration for the post-pivot Phase 1/Phase 2 identifiers was NOT FOUND across the named refs; the inherited docs/pre_registration.md has no post-clean-lab history or searched post-pivot signature terms.","ACTIVE","SRC-S2-011;SRC-S2-012","local-sha256:054ec14d3ece1950cb8f00bcb739728481e1d8c7a50120579c554172faf95cab:paper_notes/POST_PIVOT_PREREG_SEARCH_20260615.txt:L1-L49","Search named refs for preregistration paths terms and post-clean-lab history","SRC-S2-011","./paper_notes/STAGE2_SEARCH_POST_PIVOT_PREREG.ps1 -OutputPath ./paper_notes/POST_PIVOT_PREREG_SEARCH_20260615.txt","VERIFIED_LIMITED","NOT FOUND is limited to searched refs paths and terms"
"CLM-S2-006","2","AUDIT_HISTORY","DIRECT","POST_HOC_EXPLORATORY","Phase 1 progressed through clean-lab full-stack factorial isolation init-bonus sensitivity KG-off falsification cross-zone as-is bump independent seed replication and untargeted ablation runs.","ACTIVE","SRC-S2-003;SRC-S2-004;SRC-0032;SRC-0033;SRC-0034;SRC-0035","local-sha256:97a1e8d0d5b725b640a9a816267dfc897d44e134fe0fdba7409fdd447e8e0edb:paper_notes/ACTIONS_RUNS_20260615T153450Z.csv:rows 85,88-89,92-94,97,99-100,102,104; named columns databaseId,status,conclusion,headSha,url; local-sha256:910dd72918495cf2f9c9a66a0a4f0a1e8e7d51b10adfa088ee51397b713eeaa7:paper_notes/GIT_AUDIT_20260615T153450Z.txt:L36-L44","Chronological join of commit history run metadata and hashed analysis notes","NONE","NONE","VERIFIED_STAGE2","Replication and ablation are prospective checks within a post-hoc line not formally preregistered"
"CLM-S2-007","2","AUDIT_HISTORY","DIRECT","ENGINEERING_VALIDATION","Phase 2 progressed from the initial Bellman-stability instrument through policy stability goal-rate certification primary-detection attribution and ambiguous-abstain handling.","ACTIVE","SRC-S2-003;SRC-S2-004","phase2-fault-detection@985c7a18558b6d5cb96c018a395b0aae6389f410:docs/PHASE1_TO_PHASE2_CHANGES.md:L208-L1327; local-sha256:97a1e8d0d5b725b640a9a816267dfc897d44e134fe0fdba7409fdd447e8e0edb:paper_notes/ACTIONS_RUNS_20260615T153450Z.csv:rows 108-118; named columns databaseId,status,conclusion,headSha,url","Chronological join of committed correction record and run metadata","NONE","NONE","VERIFIED_STAGE2","Earlier instruments are retained in audit history and superseded for affected claims"
"CLM-S2-008","2","AUDIT_HISTORY","DIRECT","UNRESOLVED","GitHub Actions run 27547019772 remained in progress on head 985c7a18558b6d5cb96c018a395b0aae6389f410 at the 2026-06-15T15:50:57.8683740Z observation.","ACTIVE","SRC-S2-008","local-sha256:ddd11f43127bc94a17faccc3ba2c2cdbf5791464a8d6981012f7b2eb81021b4b:paper_notes/ACTIONS_SELECTED_RUNS_20260615T155057Z.csv:row 7; named columns observedAtUtc,runId,status,conclusion,headSha,updatedAt,url","NONE","SRC-S2-007","./paper_notes/STAGE2_CAPTURE_ACTION_DETAILS.ps1 -ObservedAtUtc '2026-06-15T15:50:57.8683740Z' -RunIds 27138055036,27339902999,27347962788,27463565168,27529585379,27547019772","VERIFIED_MUTABLE_STATUS","Partial per-cell artifacts do not establish a final result"
"CLM-S2-009","2","AUDIT_HISTORY","DIRECT","NOT_APPLICABLE","The selected-run jobs endpoint was unavailable for all six queried runs due HTTP 504/invalid JSON and job-step details are therefore NOT FOUND in the Stage 2 capture.","ACTIVE","SRC-S2-009","local-sha256:23c9a8b5da7edd78d8a72ac174475158b4752201999caf054da4b0ce4a07f379:paper_notes/ACTIONS_CAPTURE_ERRORS_20260615T155057Z.csv:rows 2-7; named columns runId,endpoint,error","NONE","SRC-S2-007","./paper_notes/STAGE2_CAPTURE_ACTION_DETAILS.ps1 -ObservedAtUtc '2026-06-15T15:50:57.8683740Z' -RunIds 27138055036,27339902999,27347962788,27463565168,27529585379,27547019772","VERIFIED_LIMITED","Do not repeat uncaptured job IDs or step errors as direct evidence"
"CLM-S2-010","2","AUDIT_HISTORY","SUPERSEDED","NOT_APPLICABLE","The first Stage 2 normalized Actions CSV and second Git-audit capture were invalid due array-shape and scalar-enumeration defects and are preserved as superseded evidence.","SUPERSEDED","SRC-S2-013;SRC-S2-014;SRC-S2-003;SRC-S2-004","local-sha256:31fa3aed26caa4f0497ae6f8dfe2718fd03e90de113fbcd323f492819eb13c4c:paper_notes/ACTIONS_RUNS_20260615T152849Z.csv:L1-L2; local-sha256:4cb44df28d84d3b299307f541dd9a23c196d6bc8854a21d88db40f625df00437:paper_notes/GIT_AUDIT_20260615T152936Z.txt:L1-L22","Compare defective captures with corrected successors","SRC-S2-001","./paper_notes/STAGE2_CAPTURE.ps1 -ObservedAtUtc '2026-06-15T15:34:50.3118706Z'","VERIFIED_STAGE2","Invalid artifacts remain for audit and must not support scientific claims"
"CLM-S2-011","2","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Phase 2 v5 run 27547019772 completed successfully on attempt 2 at head 985c7a18558b6d5cb96c018a395b0aae6389f410 and produced committed results at origin/results commit 22a448be5d9829751badd341904e36ed582f091f.","ACTIVE","SRC-S2-021;SRC-S2-023;SRC-S2-027","local-sha256:4d200a0a2ba6e505c7df67e1069dc127710d6b946a697d4c7e1b8e3b8345e505:paper_notes/ACTIONS_SELECTED_RUNS_20260616T133627Z.csv:row 2; named columns runId,status,conclusion,headSha,runAttempt,updatedAt,url; local-sha256:0e849b3f1501c74b1f4f7edc632e34d541ffdbb9875290ff64a356b31040d05c:paper_notes/ACTIONS_ARTIFACTS_20260616T133627Z.csv:row 101; named columns artifactName,artifactId,sizeInBytes,digest; origin/results@22a448be5d9829751badd341904e36ed582f091f:phase2/27547019772-20260615-183138/analysis_out/phase2_recovery_paired.csv:L1-L12","Direct row extraction","NONE","NONE","VERIFIED","Supersedes earlier Stage 2 in-progress observation; artifact ZIP byte identity remains unresolved"
"CLM-S2-012","2","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DIRECT","NOT_APPLICABLE","Phase 3 implementation commit 7137f8870881017a9eedd40c837e517481d0e9ce added response-delay learning, KG writeback, deadline-aware exploitation, Phase 3 analysis, and the dispatchable phase3 workflow later merged into main at 3bb5289c36cb3093228ec0609fe57ec676b1ee53.","ACTIVE","SRC-S2-019;SRC-S2-025","local-sha256:2c3f22e4ef580061f1e28a6e75348e3102aad1924c27cb2717cfb4d27e67aee4:paper_notes/GIT_AUDIT_20260616T133609Z.txt:L34-L37; origin/main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:config/run_config.json:L322-L365; origin/main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/agt/illuminance_controller_agent_dynamics.asl:L1-L35; origin/main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/env/tools/DynamicsLearner.java:L13-L31; origin/main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L1-L24","Direct committed-source inspection","NONE","NONE","VERIFIED","Conceptual approach and implementation details must be kept separate in manuscript notes"
"CLM-S2-013","2","AUDIT_HISTORY","SUPERSEDED","ENGINEERING_VALIDATION","Phase 3 run 27598417789 completed successfully with n=5 result rows, but its paired Wilcoxon rows have the n=5 two-sided floor p_wilcoxon 0.0625 and are superseded for final inference by run 27621106006.","SUPERSEDED_BY_RUN_27621106006","SRC-S2-021;SRC-S2-023;SRC-S2-028","local-sha256:4d200a0a2ba6e505c7df67e1069dc127710d6b946a697d4c7e1b8e3b8345e505:paper_notes/ACTIONS_SELECTED_RUNS_20260616T133627Z.csv:row 3; named columns runId,status,conclusion,headSha,updatedAt,url; local-sha256:0e849b3f1501c74b1f4f7edc632e34d541ffdbb9875290ff64a356b31040d05c:paper_notes/ACTIONS_ARTIFACTS_20260616T133627Z.csv:row 123; named columns artifactName,artifactId,sizeInBytes,digest; origin/results@abc66fcb9bf0be36d7a36ac1608c2049887cc738:phase3/27598417789-20260616-062513/analysis_out/phase3_compliance_paired.csv:rows 2-5; named columns n_paired,p_wilcoxon,cliffs_delta,ql_true_better","Direct row extraction plus supersession from local pre-run plan","SRC-S2-026","NONE","VERIFIED","Keep as AUDIT HISTORY; do not use as final manuscript inferential authority"
"CLM-S2-014","2","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","UNRESOLVED","CONFIRMATORY_RELATIVE_TO_LOCAL_PRE_RUN_PLAN","Local commit eda6ca1ffa026e723ad1a18a2bdb3aed927e7433 documented the n=10 Phase 3 expected outcome before run 27621106006 was created, but the run head SHA is main commit 3bb5289c36cb3093228ec0609fe57ec676b1ee53, so the exact workflow_dispatch input payload remains NOT FOUND.","ACTIVE","SRC-S2-021;SRC-S2-025;SRC-S2-026","phase3-process-dynamics@eda6ca1ffa026e723ad1a18a2bdb3aed927e7433:docs/PHASE2_TO_PHASE3_CHANGES.md:L621-L666; phase3-process-dynamics@eda6ca1ffa026e723ad1a18a2bdb3aed927e7433:.github/workflows/phase3.yml:L46-L70; origin/main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:.github/workflows/phase3.yml:L46-L70; local-sha256:4d200a0a2ba6e505c7df67e1069dc127710d6b946a697d4c7e1b8e3b8345e505:paper_notes/ACTIONS_SELECTED_RUNS_20260616T133627Z.csv:row 4; named columns createdAt,headSha,event,status,conclusion","Compare commit author date and run metadata; inspect workflow defaults","NONE","git show --format=fuller --no-patch eda6ca1ffa026e723ad1a18a2bdb3aed927e7433; gh run view 27621106006 --json databaseId,workflowName,event,status,conclusion,headBranch,headSha,attempt,createdAt,updatedAt,url","VERIFIED_WITH_LIMITATION","Treat as locally pre-run confirmatory plan, not formal external preregistration"
