"evidence_id","product_scope","evidence_label","research_status","claim_or_object","input_sources","metric","value","derivation_method","statistical_integrity_status","analysis_script_ref","exact_command","notes"
"P3T-011","AUDIT_HISTORY","DIRECT","ENGINEERING_VALIDATION","n=10 local download tree hash","local-tree-sha256:5fe3c3e8c57c1ea1da0338fe888161006b99e26a7f50d6cbabc7850ab3848d2c:phase3_download_n10; local-tree-sha256:2c7a4523124ccdbe176cc88e0dd968a5759012db28eba6b267b40d6850e8b945:phase3_download_n10/phase3-consolidated","file_count;byte_count","phase3_download_n10 files=415 bytes=2719726; phase3-consolidated files=123 bytes=137205","TREE_SHA256_V1","LOCAL_EXTRACTION_HASHED_NOT_ZIP_VERIFIED","local-sha256:13bcc1aedb7a50cba1e81933017ba229bda2642db059f89ab0938ed9e7d5bd93:paper_notes/00_PROTOCOL.md:L82-L103","node paper_notes/TREE_SHA256_V1.mjs phase3_download_n10; node paper_notes/TREE_SHA256_V1.mjs phase3_download_n10/phase3-consolidated","Directory hashes support local provenance only."
"P3T-012","MANUSCRIPT_EVIDENCE;AUDIT_HISTORY","DERIVED","ENGINEERING_VALIDATION","n=10 raw CSV inventory","local-tree-sha256:2c7a4523124ccdbe176cc88e0dd968a5759012db28eba6b267b40d6850e8b945:phase3_download_n10/phase3-consolidated","delay_files;delay_rows;timebounded_files;timebounded_rows;learned_ttl_files;rep_dirs","delay_files=40; delay_rows=180; timebounded_files=40; timebounded_rows=240; learned_ttl_files=40; rep_dirs=10","POWERSHELL_IMPORTCSV_COUNT","RAW_INPUT_COUNTED","NONE","$root='phase3_download_n10/phase3-consolidated/dynamics_root'; $delayFiles=Get-ChildItem -LiteralPath $root -Recurse -Filter 'dynamics_delays_*.csv'; $timeFiles=Get-ChildItem -LiteralPath $root -Recurse -Filter 'timebounded_results_*.csv'; [pscustomobject]@{DelayFiles=$delayFiles.Count; DelayRows=(($delayFiles | ForEach-Object { (Import-Csv -LiteralPath $_.FullName).Count }) | Measure-Object -Sum).Sum; TimeboundedFiles=$timeFiles.Count; TimeboundedRows=(($timeFiles | ForEach-Object { (Import-Csv -LiteralPath $_.FullName).Count }) | Measure-Object -Sum).Sum; LearnedTtlFiles=(Get-ChildItem -LiteralPath $root -Recurse -Filter 'learned_dynamics_*.ttl').Count; RepDirs=(Get-ChildItem -LiteralPath $root -Directory -Filter 'rep*').Count} | ConvertTo-Json -Compress","Counts match 2 profiles x 2 modes x 10 replicas; delay rows differ by lab action count."
"P3T-013","MANUSCRIPT_EVIDENCE;AUDIT_HISTORY","DERIVED","ENGINEERING_VALIDATION","n=10 recomputation from raw CSVs","local-tree-sha256:2c7a4523124ccdbe176cc88e0dd968a5759012db28eba6b267b40d6850e8b945:phase3_download_n10/phase3-consolidated; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L1-L575","recomputed_output_rows","delay_rows=4; compliance_ci_rows=4; paired_rows=8","PYTHON_ANALYSIS_RERUN","RECOMPUTED_FROM_RAW","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L1-L575","python analysis/phase3_dynamics.py --root phase3_download_n10/phase3-consolidated/dynamics_root --out paper_notes/stage10a_phase3_recompute_n10","Python initially failed in the sandbox and was rerun with approval; no new experiment was executed."
"P3T-014","MANUSCRIPT_EVIDENCE;AUDIT_HISTORY","DERIVED","ENGINEERING_VALIDATION","n=10 recompute equality against downloaded consolidated CSVs","local-sha256:7991ed312313a7b38a64da86624b45b70563cd7b4701188db242a8a2b3596b98:phase3_download_n10/phase3-consolidated/analysis/out/phase3_delay_accuracy.csv:L1-L5; local-sha256:8b179fd0ebf8de9f80f89f6a3df1440e7effea7c4733b5013be763034cd35a20:phase3_download_n10/phase3-consolidated/analysis/out/phase3_compliance_ci.csv:L1-L5; local-sha256:ae51825cd6a519b52fd2ee83e653c96e3e98cead90c7be0eebda5640e5a6b93b:phase3_download_n10/phase3-consolidated/analysis/out/phase3_compliance_paired.csv:L1-L9","hash_match_status","delay=byte_identical; paired=byte_identical; compliance_ci=numeric_match_not_byte_identical","HASH_COMPARE_AND_FLOAT_STRING_DIFF","RECOMPUTE_CONFIRMED_WITH_PRECISION_NOTE","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L1-L575","python analysis/phase3_dynamics.py --root phase3_download_n10/phase3-consolidated/dynamics_root --out paper_notes/stage10a_phase3_recompute_n10","Compliance-CI hash differs only in final floating-string representation such as 33.333333333333336 versus 33.33333333333333."
"P3T-015","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Delay accuracy n=10 lab2_slow ql_false","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_delay_accuracy.csv:row 2; named columns profile,mode,n_actuators,n_instantaneous,n_delayed,slowest_label,slowest_learned_ticks,ground_truth_ticks,abs_err_ticks,rel_err_pct,mean_instant_ticks,mean_delayed_ticks","slowest_learned_ticks;rel_err_pct","12.1125 ticks; 0.94 pct","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_actuators=4; n_instantaneous=2; n_delayed=2; slowest_label=SetZ2Blinds=ON."
"P3T-016","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Delay accuracy n=10 lab2_slow ql_true","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_delay_accuracy.csv:row 3; named columns profile,mode,n_actuators,n_instantaneous,n_delayed,slowest_label,slowest_learned_ticks,ground_truth_ticks,abs_err_ticks,rel_err_pct,mean_instant_ticks,mean_delayed_ticks","slowest_learned_ticks;rel_err_pct","12.1875 ticks; 1.56 pct","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_actuators=4; n_instantaneous=2; n_delayed=2; slowest_label=SetZ1Blinds=ON."
"P3T-017","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Delay accuracy n=10 lab3_slow ql_false","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_delay_accuracy.csv:row 4; named columns profile,mode,n_actuators,n_instantaneous,n_delayed,slowest_label,slowest_learned_ticks,ground_truth_ticks,abs_err_ticks,rel_err_pct,mean_instant_ticks,mean_delayed_ticks","slowest_learned_ticks;rel_err_pct","12.2125 ticks; 1.77 pct","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_actuators=5; n_instantaneous=3; n_delayed=2; slowest_label=SetZ1Blinds=ON."
"P3T-018","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Delay accuracy n=10 lab3_slow ql_true","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_delay_accuracy.csv:row 5; named columns profile,mode,n_actuators,n_instantaneous,n_delayed,slowest_label,slowest_learned_ticks,ground_truth_ticks,abs_err_ticks,rel_err_pct,mean_instant_ticks,mean_delayed_ticks","slowest_learned_ticks;rel_err_pct","12.2125 ticks; 1.77 pct","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_actuators=5; n_instantaneous=3; n_delayed=2; slowest_label=SetZ1Blinds=ON."
"P3T-019","MANUSCRIPT_EVIDENCE","DERIVED","ENGINEERING_VALIDATION","n=10 response-class classification against action labels","local-tree-sha256:2c7a4523124ccdbe176cc88e0dd968a5759012db28eba6b267b40d6850e8b945:phase3_download_n10/phase3-consolidated; local-sha256:3300ad13cc93964800f07be971bb4b94a2a4fc9e7a3a1058d8beb6a9db50ac4d:phase3_download_n10/phase3-consolidated/dynamics_root/rep1/dynamics_delays_true_lab2_slow.csv:L1-L5","classification_matches","180/180 rows matched expected class; delayed=80; instantaneous=100","ACTION_LABEL_RESPONSE_CLASS_COUNT","RAW_DERIVED_CHECK","NONE","$root='phase3_download_n10/phase3-consolidated/dynamics_root'; $rows=Get-ChildItem -LiteralPath $root -Recurse -Filter 'dynamics_delays_*.csv' | ForEach-Object { Import-Csv -LiteralPath $_.FullName }; $mismatch=$rows | Where-Object { (($_.action_label -like '*Blinds*') -and ($_.response_class -ne 'delayed')) -or (($_.action_label -notlike '*Blinds*') -and ($_.response_class -ne 'instantaneous')) }; [pscustomobject]@{Rows=$rows.Count; Matches=($rows.Count-$mismatch.Count); Mismatches=$mismatch.Count; Delayed=($rows | Where-Object {$_.response_class -eq 'delayed'}).Count; Instantaneous=($rows | Where-Object {$_.response_class -eq 'instantaneous'}).Count} | ConvertTo-Json -Compress","Expected class rule is Stage 10A audit logic, not part of the original analysis script."
"P3T-020","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 compliance CI lab2_slow ql_false","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_ci.csv:row 2; named columns profile,mode,n_replicas,n_goals_total,overall_compliance_mean,tight_compliance_mean,loose_compliance_mean,total_energy_mean,mean_actual_delay_mean","overall;tight;loose;energy;actual_delay","0.5;0.0;1.0;0.0;60.583333333333336","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_replicas=10 and n_goals_total=6."
"P3T-021","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 compliance CI lab2_slow ql_true","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_ci.csv:row 3; named columns profile,mode,n_replicas,n_goals_total,overall_compliance_mean,tight_compliance_mean,loose_compliance_mean,total_energy_mean,mean_actual_delay_mean","overall;tight;loose;energy;actual_delay","1.0;1.0;1.0;3.2;33.33333333333333","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_replicas=10 and n_goals_total=6."
"P3T-022","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 compliance CI lab3_slow ql_false","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_ci.csv:row 4; named columns profile,mode,n_replicas,n_goals_total,overall_compliance_mean,tight_compliance_mean,loose_compliance_mean,total_energy_mean,mean_actual_delay_mean","overall;tight;loose;energy;actual_delay","0.5;0.0;1.0;0.0;60.583333333333336","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_replicas=10 and n_goals_total=6."
"P3T-023","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 compliance CI lab3_slow ql_true","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_ci.csv:row 5; named columns profile,mode,n_replicas,n_goals_total,overall_compliance_mean,tight_compliance_mean,loose_compliance_mean,total_energy_mean,mean_actual_delay_mean","overall;tight;loose;energy;actual_delay","1.0;1.0;1.0;3.3;33.08333333333333","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","n_replicas=10 and n_goals_total=6."
"P3T-024","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 paired overall compliance lab2_slow","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_paired.csv:row 2; named columns profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_wilcoxon,cliffs_delta,q_bootstrap_bh","paired_result","n=10; ql_true=1.0; ql_false=0.5; diff=0.5; CI=[0.5,0.5]; p_bootstrap=0.0; p_wilcoxon=0.001953125; cliffs_delta=1.0; q_BH=0.0","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY_RECOMPUTED_BYTE_IDENTICAL","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L394-L471","python analysis/phase3_dynamics.py --root phase3_download_n10/phase3-consolidated/dynamics_root --out paper_notes/stage10a_phase3_recompute_n10","Paired CSV was byte-identical after recomputation."
"P3T-025","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 paired overall compliance lab3_slow","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_paired.csv:row 3; named columns profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_wilcoxon,cliffs_delta,q_bootstrap_bh","paired_result","n=10; ql_true=1.0; ql_false=0.5; diff=0.5; CI=[0.5,0.5]; p_bootstrap=0.0; p_wilcoxon=0.001953125; cliffs_delta=1.0; q_BH=0.0","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY_RECOMPUTED_BYTE_IDENTICAL","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L394-L471","python analysis/phase3_dynamics.py --root phase3_download_n10/phase3-consolidated/dynamics_root --out paper_notes/stage10a_phase3_recompute_n10","Paired CSV was byte-identical after recomputation."
"P3T-026","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 paired tight compliance lab2_slow","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_paired.csv:row 4; named columns profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_wilcoxon,cliffs_delta,q_bootstrap_bh","paired_result","n=10; ql_true=1.0; ql_false=0.0; diff=1.0; CI=[1.0,1.0]; p_bootstrap=0.0; p_wilcoxon=0.001953125; cliffs_delta=1.0; q_BH=0.0","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY_RECOMPUTED_BYTE_IDENTICAL","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L394-L471","python analysis/phase3_dynamics.py --root phase3_download_n10/phase3-consolidated/dynamics_root --out paper_notes/stage10a_phase3_recompute_n10","Tight compliance is the deadline-specific headline metric."
"P3T-027","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 paired tight compliance lab3_slow","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_paired.csv:row 5; named columns profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_wilcoxon,cliffs_delta,q_bootstrap_bh","paired_result","n=10; ql_true=1.0; ql_false=0.0; diff=1.0; CI=[1.0,1.0]; p_bootstrap=0.0; p_wilcoxon=0.001953125; cliffs_delta=1.0; q_BH=0.0","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY_RECOMPUTED_BYTE_IDENTICAL","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L394-L471","python analysis/phase3_dynamics.py --root phase3_download_n10/phase3-consolidated/dynamics_root --out paper_notes/stage10a_phase3_recompute_n10","Tight compliance is the deadline-specific headline metric."
"P3T-028","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 paired loose compliance shows no treatment difference","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_paired.csv:rows 6-7; named columns profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,p_bootstrap,p_wilcoxon,cliffs_delta,q_bootstrap_bh","loose_compliance_diff","lab2=0.0; lab3=0.0; p_bootstrap=1.0; p_wilcoxon=1.0; q_BH=1.0","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","Loose-deadline goals are met by both arms."
"P3T-029","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 energy trade-off","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_paired.csv:rows 8-9; named columns profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,lower_is_better,p_bootstrap,p_wilcoxon,cliffs_delta,ql_true_better,q_bootstrap_bh","total_energy_diff","lab2 diff=3.2 CI=[3.0,3.5]; lab3 diff=3.3 CI=[3.0,3.6]; lower_is_better=True; ql_true_better=False","DIRECT_FROM_COMMITTED_CSV","FINAL_N10_AUTHORITY","NONE","NONE","Energy is interpreted as the cost of meeting tight deadlines, not as an unconditioned win metric."
"P3T-030","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 raw per-goal mechanism example for lab2_slow","local-sha256:5fdeeddc4a56d0378f21e750dff3b8f9042286ce3c6bc8f8bac996f31af9c490:phase3_download_n10/phase3-consolidated/dynamics_root/rep1/timebounded_results_true_lab2_slow.csv:rows 2-7; named columns goal_id,deadline_sec,chosen_label,believed_delay_sec,actual_delay_sec,energy_cost,met; local-sha256:fe7e2d88222d79cd096b4d31f645a35ca2f69d8a6ceab31cb4730a98a164fc46:phase3_download_n10/phase3-consolidated/dynamics_root/rep1/timebounded_results_false_lab2_slow.csv:rows 2-7; named columns goal_id,deadline_sec,chosen_label,believed_delay_sec,actual_delay_sec,energy_cost,met","per_goal_split_rep1","ql_true met 6/6; ql_false met 3/6; ql_false tight goals g1,g2,g5 missed","DIRECT_RAW_CSV_EXAMPLE","MECHANISM_EXAMPLE_NOT_SOLE_AGGREGATE_SOURCE","NONE","NONE","Used as a transparent row-level example; aggregate evidence is P3T-020 through P3T-029."
"P3T-031","MANUSCRIPT_EVIDENCE","DERIVED","ENGINEERING_VALIDATION","n=10 raw choice-stability check","local-tree-sha256:2c7a4523124ccdbe176cc88e0dd968a5759012db28eba6b267b40d6850e8b945:phase3_download_n10/phase3-consolidated","choice_groups","lab2 choices stable for all 12 profile/mode/goal groups; lab3 ql_true loose blind labels split 5/5 for g3,g4,g6; all met outcomes stable","POWERSHELL_GROUP_BY_PROFILE_MODE_GOAL_LABEL_MET","REFINES_DIRTY_DOC_BIT_IDENTICAL_DECISION_CLAIM","NONE","$root='phase3_download_n10/phase3-consolidated/dynamics_root'; $rows=Get-ChildItem -LiteralPath $root -Recurse -Filter 'timebounded_results_*.csv' | ForEach-Object { Import-Csv -LiteralPath $_.FullName }; $rows | Group-Object profile,mode,goal_id,chosen_label,met | Select-Object Count,Name | Sort-Object Name | ConvertTo-Json -Compress","Do not claim actuator-label decisions are bit-identical across all n=10 lab3 ql_true loose goals."
"P3T-032","AUDIT_HISTORY","SUPERSEDED","ENGINEERING_VALIDATION","n=5 Phase 3 run superseded by n=10 authority","GitHub Actions: workflow=Phase 3 (process dynamics, response-delay learning); run ID=27598417789; URL=https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27598417789; head SHA=3bb5289c36cb3093228ec0609fe57ec676b1ee53; artifact=phase3-consolidated; artifact_id=7658950188; artifact_digest=sha256:42b38654a85adad350f1a9316a2cd7aafc4d95fafda839a22703e8dd7c316736; origin/results@abc66fcb9bf0be36d7a36ac1608c2049887cc738:phase3/27598417789-20260616-062513/analysis_out/phase3_compliance_paired.csv:L1-L9","n5_wilcoxon_floor","n_paired=5; headline p_wilcoxon=0.0625","GH_RUN_VIEW_AND_COMMITTED_CSV","SUPERSEDED_BY_N10_RUN_27621106006","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:analysis/phase3_dynamics.py:L394-L471","python analysis/phase3_dynamics.py --root phase3_download/phase3-consolidated/dynamics_root --out paper_notes/stage10a_phase3_recompute_n5","n=5 point estimates were not rejected; n=5 is superseded because signed-rank floor did not clear 0.05."
